"","Cardiac.Fibroblasts","Ventricular.Cardiomyocyte","Endothelial.Cell","Schwann.Cell","Cardiac.Pericyte","Macrophage"
"chr1-7120001-7125000",-0.774608761783018,0.851949289160168,-0.381571317155455,-0.241942519839929,-0.396388924699229,-0.397568464115686
"chr1-7145001-7150000",-0.525757192936688,0.750154885970424,-0.298325847917751,-0.100401489758929,-0.0836029315204324,-0.200645955719966
"chr1-7290001-7295000",-0.707257256893189,0.819716715011691,-0.60181292995986,-0.299660446310076,-0.4082810379053,-0.608844176010481
"chr1-7360001-7365000",-0.745473978339415,0.841049307712018,-0.350354567718925,-0.209742394188374,-0.340987739449055,-0.194963818297709
"chr1-7365001-7370000",-0.841308554983959,0.857308898021232,-0.642112744853579,-0.285489452034218,-0.308811917650836,-0.362432179952416
"chr1-7370001-7375000",-0.682658671686877,0.796762659271777,-0.259107780619996,0.00920501141233538,-0.266807398115193,-0.180000990499014
"chr1-7515001-7520000",-0.855288129178016,0.811267687815864,-0.579061247625682,-0.139123231896188,-0.295346238160044,-0.226009167101434
"chr1-7520001-7525000",-0.424738119375993,0.810412762768374,-0.291035946217583,0.0126625413261082,-0.211636708146956,-0.29936120849266
"chr1-7610001-7615000",-0.484017722499374,0.809183690882492,-0.305265393391595,-0.181124245489257,-0.227950017491989,-0.22179627204797
"chr1-7615001-7620000",-0.791695457654606,0.835183059076358,-0.41822928169122,-0.259292397920872,-0.302468906919856,-0.412604653601418
"chr1-7640001-7645000",-0.360722218399132,0.773391448531954,-0.115747850616983,-0.117449475312171,-0.291763172761653,-0.167393820180907
"chr1-7720001-7725000",-0.485187767033713,0.773839289951976,-0.273933391560492,0.00124138784149052,-0.120648017157947,-0.16110819938355
"chr1-8280001-8285000",-0.14890859608678,-0.166611587030933,-0.144871684243945,0.0471013178712221,-0.0652848382162589,0.855345223535323
"chr1-9030001-9035000",-0.794317953929068,0.849358882639856,-0.494877055615304,-0.255913428358989,-0.417812918656542,-0.273292264862089
"chr1-9120001-9125000",-0.757388265992956,0.835760264035243,-0.525642738673439,-0.281305080780507,-0.337889859007384,-0.465436812574732
"chr1-9245001-9250000",-0.720032809748315,0.813041780017707,-0.63596918500078,-0.335827177262444,-0.573018704492666,-0.551718340802389
"chr1-9295001-9300000",0.758498548000687,-0.135563441692061,-0.151039538380104,-0.0561349871350558,-0.101427831093412,-0.248225608934329
"chr1-9440001-9445000",-0.727479132472231,0.806441000292216,-0.834351324454989,0.000691600507562403,-0.499496137290498,-0.500192574229936
"chr1-9470001-9475000",0.805764660889972,-0.364905784199983,-0.112272017132012,0.0864597094322537,-0.151199540369884,-0.124499091155118
"chr1-9500001-9505000",-0.374155156573574,0.783129307577972,-0.15791515320082,-0.12954417512162,-0.210553985511897,-0.226223441481839
"chr1-9545001-9550000",-0.75651230963262,0.797474452739418,-0.523590152202952,-0.266651824205034,-0.188049096773414,-0.320516156371705
"chr1-9550001-9555000",-0.464203153194946,0.764719893000173,-0.0996368641485632,-0.131443576073195,-0.168161852708472,-0.153183814776965
"chr1-9555001-9560000",-0.851118672317473,0.847652682061479,-0.570141385902501,-0.32695425011159,-0.429077238344924,-0.592134964640974
"chr1-9605001-9610000",-0.613173276608703,0.795155104594289,-0.35084887722563,-0.039753305717421,-0.265634584524962,-0.351482367517438
"chr1-9650001-9655000",-0.243223440162925,-0.0537200277760303,-0.104732950297338,-0.140394761817794,-0.0615875662991141,0.788520088733792
"chr1-9755001-9760000",-0.615606986467181,0.763366050308676,-0.262435754341457,-0.217667714444698,-0.195278555269171,-0.186446083477337
"chr1-9920001-9925000",-0.4457197130434,0.783208828211483,-0.204853321612344,-0.0455531240319488,-0.353940291254777,-0.222816423564213
"chr1-10105001-10110000",-0.817757832375783,0.829739393882945,-0.649167550985776,-0.115876190187731,-0.383703609465602,-0.387615526238106
"chr1-10150001-10155000",-0.606429627667031,0.766049656370309,-0.254823127859107,-0.109765702591491,-0.14662759422533,-0.158663352367719
"chr1-10155001-10160000",-0.742783272535691,0.796265891767134,-0.454359727405578,-0.248077278940575,-0.117428314911384,-0.482256962787847
"chr1-10160001-10165000",-0.620013225628618,0.78825542211523,-0.402560839246341,-0.240162502802071,-0.28098050423043,-0.374656199948714
"chr1-10285001-10290000",-0.713772787873826,0.799768644291359,-0.535477529420772,-0.0907767904946278,-0.277067777766806,-0.476968944433989
"chr1-10300001-10305000",-0.458157258789817,0.765365277701208,-0.281496453420939,-0.184302911066577,-0.239113516549257,-0.113203067150683
"chr1-10610001-10615000",-0.458106308476288,0.798340450457988,-0.180994765395409,-0.150603763849062,-0.203480029168959,-0.309009185917891
"chr1-10645001-10650000",-0.804840573633083,0.810104627410754,-0.468655913497451,-0.118104020151727,-0.328965915431124,-0.375974384256486
"chr1-10660001-10665000",-0.779641404457682,0.794679961138175,-0.677306927506906,-0.0181567583339259,-0.279837005973046,-0.691325067781674
"chr1-10665001-10670000",-0.861867134058482,0.785735422044765,-0.509583764473312,-0.376072618083447,-0.415341890146305,-0.595074522285549
"chr1-10670001-10675000",-0.830598925547799,0.858239805208886,-0.449855243897311,-0.281071139934003,-0.520848318167843,-0.408435084352527
"chr1-10675001-10680000",-0.822067465030626,0.771673592222007,-0.271157541127816,-0.156866909015398,-0.386888876948639,-0.495003847365476
"chr1-10685001-10690000",-0.851688318876449,0.798933345844219,-0.379096412621929,-0.33915742759219,-0.484142437864473,-0.631389889082701
"chr1-10700001-10705000",-0.622169268730647,0.771991882082506,-0.17064426755805,-0.0636868405003029,-0.229853418193041,-0.208969077130133
"chr1-10710001-10715000",-0.880380268948759,0.869744821852964,-0.487071217524705,-0.292782960175234,-0.39498507437033,-0.4942212027157
"chr1-10720001-10725000",-0.863207931249451,0.87093706487718,-0.720344391120359,-0.368613648518737,-0.672996317593843,-0.585359920289103
"chr1-10725001-10730000",-0.774627663931543,0.858115960211512,-0.743221415463992,-0.360192338000162,-0.558978464889386,-0.750965574452258
"chr1-10730001-10735000",-0.772673791202887,0.828006374522253,-0.312609557633055,-0.247873502906577,-0.436864460123182,-0.403039932272709
"chr1-10735001-10740000",-0.83627421148802,0.781618874845183,-0.361130609339134,-0.349780957887481,-0.548305391184595,-0.632325680225657
"chr1-10740001-10745000",-0.691215549631824,0.789416546707241,-0.167860967271803,-0.203869408227782,-0.319491362495465,-0.247842286790943
"chr1-10745001-10750000",-0.865511601717092,0.846430807601249,-0.388943470092992,-0.260250902746204,-0.323872718339229,-0.322001561463056
"chr1-10750001-10755000",-0.687363607014877,0.772458703612658,-0.180060889239152,-0.20911296470201,-0.252143500631932,-0.182495050373607
"chr1-10770001-10775000",-0.809840856088448,0.863854272425444,-0.370590917713425,-0.227831232942055,-0.367213015460906,-0.337115476234881
"chr1-10775001-10780000",-0.817124688155958,0.87749331617277,-0.553940875797516,-0.289965733062244,-0.374628894608923,-0.582314030580991
"chr1-10780001-10785000",-0.750496622253065,0.852789206421463,-0.364752995499329,-0.225424435063987,-0.458605012107185,-0.318598743971472
"chr1-10785001-10790000",-0.964161785031482,0.853755586345206,-0.56920032774236,-0.366077944759141,-0.744781546881743,-0.689235336623913
"chr1-10790001-10795000",-0.866844351362697,0.863926347375246,-0.696127458915393,-0.352124204975551,-0.503493422898315,-0.712406024642682
"chr1-10815001-10820000",-0.721824108807208,0.818269125834572,-0.415406344319025,-0.0361788840904265,-0.289047263367929,-0.376103871397478
"chr1-10820001-10825000",-0.889032516158455,0.929127777608136,-0.674155227501456,-0.288549878998052,-0.366550642414483,-0.542872985158422
"chr1-10835001-10840000",-0.514358817135063,0.752011185005974,-0.0772554037818903,-0.156344863036605,-0.192934505841859,-0.133540389032363
"chr1-10855001-10860000",-0.785770788280194,0.831806916127756,-0.244133705851081,-0.112168650967525,-0.283935397452673,-0.207278899873161
"chr1-10860001-10865000",-0.802903391156629,0.853130853394885,-0.579424819702841,-0.291290614414744,-0.401800991071522,-0.398921289043761
"chr1-10955001-10960000",-0.435332046384246,0.801464272702069,-0.22528029443207,-0.145865951306205,-0.247157562410811,-0.144576734449013
"chr1-10965001-10970000",-0.212729472820013,-0.0540958918653506,-0.19050590468895,0.0388590179551279,-0.11565102702633,0.808699534283265
"chr1-11705001-11710000",-0.524937577703291,0.757548321915549,-0.280477971596045,-0.162297268159415,-0.0683256414805447,-0.109569797423966
"chr1-11855001-11860000",-0.621595966510008,0.76516647330658,-0.300945491079783,-0.240632653069154,-0.117821397727496,-0.236874731310332
"chr1-11885001-11890000",-0.764588383485715,0.815181422136597,-0.734050699288708,-0.394194602610562,-0.386261740574522,-0.792728818863958
"chr1-11985001-11990000",-0.797148849223556,0.774480041165988,-0.480187481351505,-0.155445964861465,-0.340367068967377,-0.0959566980082561
"chr1-11990001-11995000",-0.902753650676362,0.933145438629919,-0.798689180135587,-0.243097991192316,-0.707265457971345,-0.739443189607012
"chr1-11995001-12000000",-0.760843826716901,0.834301148882765,-0.317549565099916,-0.226001087229565,-0.314823062816974,-0.287794169539624
"chr1-12000001-12005000",-0.736225474319616,0.805867946758409,-0.507188061933161,-0.124979913791137,-0.259219690575124,-0.29827171307292
"chr1-12150001-12155000",-0.16674209871969,-0.284925502791717,0.059739696678629,-0.163159816605233,0.0398286199236356,0.774381414314195
"chr1-12635001-12640000",-0.0856226316718434,-0.27760230736781,0.791985214687836,-0.144089902181572,0.0333796068419469,-0.222510744700522
"chr1-13455001-13460000",-0.289376765185899,0.757560761598896,-0.217625738871194,0.0653063204860138,-0.219522101335638,-0.266615086440509
"chr1-13485001-13490000",-0.852378228903744,0.886484774839987,-0.340915070771817,-0.237376477792887,-0.476687772908774,-0.453883809327744
"chr1-13525001-13530000",-0.59492446036743,0.758067284961984,-0.23421126256847,0.101019909366287,-0.356080702179797,-0.0973511778395446
"chr1-13535001-13540000",-0.853525350554821,0.864784756004854,-0.388735729662803,-0.114226133942238,-0.535663273553953,-0.424242169485499
"chr1-13540001-13545000",-0.824755399860125,0.852110596817768,-0.767914219868845,-0.0537147562153507,-0.644853148971027,-0.535058117692912
"chr1-13790001-13795000",-0.666318347992713,0.781004412208471,-0.435236112380075,-0.0573787768052371,-0.261673476552932,-0.129715854435609
"chr1-13945001-13950000",0.953711418065581,-0.720084624912591,-0.323490812184686,-0.115190680569816,-0.231960676801951,-0.151887123452247
"chr1-13950001-13955000",0.799183556533759,-0.263120134350565,-0.0912946066473262,-0.108304602693352,-0.142619311798277,-0.153669863688947
"chr1-14235001-14240000",0.90077742887846,-0.460746986284956,-0.127447382023301,-0.150807591217676,-0.252873892285386,-0.145859791778534
"chr1-14255001-14260000",1,-0.861530356756183,-0.20678958828588,-0.222847159163361,-0.384338584413954,-0.255876406962656
"chr1-14300001-14305000",0.841978140640134,-0.303204684419286,-0.11873036420127,-0.200884368539971,-0.229799451709769,-0.127831724014493
"chr1-14360001-14365000",0.893416359428253,-0.403729685127341,-0.110712824541159,0.0330915855438119,-0.263510253297708,-0.153915331033781
"chr1-14365001-14370000",0.889296097715686,-0.507126056310896,-0.129861984556278,-0.148041075079419,-0.137300659526892,-0.141042106069471
"chr1-14485001-14490000",0.860359245871922,-0.416924057470262,-0.090587060486792,-0.0992040954546387,-0.0701957221426816,-0.199580112826879
"chr1-14515001-14520000",0.871809147460666,-0.467192268870849,-0.107269418038811,-0.152166866169898,-0.120636241404479,-0.179245993152151
"chr1-14520001-14525000",0.929445649222739,-0.529426335011594,-0.18623187781065,-0.135726658218292,-0.162119862087957,-0.142591380087885
"chr1-14625001-14630000",0.825442738784456,-0.277836204300738,-0.108139965590355,-0.0839954707318895,-0.0945533783973689,-0.244370434515674
"chr1-14660001-14665000",0.93443817257241,-0.483569251800909,-0.307675376123742,-0.160883896259081,-0.180733366262972,-0.170332763783198
"chr1-15005001-15010000",-0.0950748492721551,-0.191735021694146,0.827428888150399,-0.0853682395011453,-0.266641266646697,-0.191688714774623
"chr1-15120001-15125000",-0.438439210192344,0.828503645912102,-0.204607137480246,-0.140038562727569,-0.212141080371249,-0.236702041659496
"chr1-15135001-15140000",-0.614297193455351,0.798694348863346,-0.33760509207138,-0.178437189288287,-0.26068941388218,-0.0550402279590388
"chr1-15140001-15145000",-0.912238677381416,0.851057710942008,-0.628305065932991,-0.171704616117797,-0.338825453891504,-0.158614551700792
"chr1-15260001-15265000",-0.193076848925733,-0.126049146404028,0.0122099409521083,-0.045610691021034,-0.00435383538775686,0.763614467094938
"chr1-15280001-15285000",-0.804300550713131,0.828117628151336,-0.376969151419813,-0.223672163697606,-0.19812929709213,-0.259037843505529
"chr1-15490001-15495000",-0.701838724181928,0.821452657438369,-0.238659086564185,-0.188416619658722,-0.189546284553156,-0.277178697974037
"chr1-15505001-15510000",-0.523523302424281,0.818309976063568,-0.295584412634908,-0.158009272504006,-0.186351642359857,-0.218674205465836
"chr1-15620001-15625000",-0.608132855711205,0.752811580502207,-0.270899666468051,-0.114688650976582,-0.254068113920198,-0.193615988619582
"chr1-15660001-15665000",-0.362868557118361,0.752915399541315,-0.174940478688684,-0.136355719392902,-0.108515061764396,-0.141293880905927
"chr1-15710001-15715000",-0.718687474532343,0.752547350233968,-0.542976993880663,-0.116031873979366,-0.140769605859336,-0.37263283865488
"chr1-15715001-15720000",-0.682187431342969,0.781334572457746,-0.593985121492127,-0.29055738200664,-0.268930892150182,-0.425930447663499
"chr1-15720001-15725000",-0.537550337319031,0.777517116667026,-0.309501776133147,-0.207700196859291,-0.249025277838096,-0.141686116266634
"chr1-15735001-15740000",-0.787122873028273,0.847556862184351,-0.803208131245396,-0.282864212408214,-0.692451068822706,-0.715169019889844
"chr1-16010001-16015000",-0.796542471981525,0.847514806869428,-0.833438162719322,-0.353092741358586,-0.660253702483868,-0.795362972609408
"chr1-16015001-16020000",-0.73239601126234,0.794389894439405,-0.788288968597104,-0.44003682676683,-0.610418503284862,-0.808106943088779
"chr1-16020001-16025000",-0.736072080186579,0.799288973696968,-0.54927734694578,-0.28798096333322,-0.261849536872591,-0.360470484131238
"chr1-16300001-16305000",-0.224809659183571,0.760211786010119,-0.198911742490991,-0.0970445706391799,-0.115451838212791,-0.25355852360129
"chr1-17205001-17210000",-0.0821356981123658,-0.172716800707308,-0.0644677080691821,-0.0302907185173332,-0.0889069044214569,0.827354729733346
"chr1-17530001-17535000",-0.690172420699089,0.752893682811236,-0.523513353359841,0.022128434714214,-0.229601184147851,-0.326409063876657
"chr1-17590001-17595000",-0.751989016148869,0.805425571281406,-0.478703453249191,-0.271783877132969,-0.208258078413542,-0.408885621559206
"chr1-17635001-17640000",-0.168966561137863,-0.0221021645179318,-0.206075313664441,-0.159748899356814,-0.15137932167052,0.772670806820994
"chr1-17815001-17820000",-0.521710472769781,0.803191715168477,-0.352370402381412,-0.108162494296568,-0.427408706754963,-0.264778912068921
"chr1-17825001-17830000",-0.45463421504396,0.801026674435053,-0.23392562397435,0.0130442609023824,-0.241956029351514,-0.309514907611503
"chr1-17870001-17875000",-0.637317014756761,0.854023877788957,-0.30058932737375,-0.178118640955501,-0.260736357115993,-0.217006565725562
"chr1-17875001-17880000",-0.728151592744797,0.860080190683569,-0.356974631920585,-0.137635310149759,-0.268128981402586,-0.345288360088526
"chr1-17880001-17885000",-0.416177333632816,0.779982567180774,-0.217982625514304,-0.038766964504629,-0.177201792017841,-0.191411599455639
"chr1-17885001-17890000",-0.414066167133261,0.784539366005573,-0.186560785558967,-0.0265288941962956,-0.16180382623194,-0.195404614676118
"chr1-17890001-17895000",-0.85033663441294,0.938077085583812,-0.790523783005895,-0.322732453478444,-0.543977288718701,-0.603241254039729
"chr1-17905001-17910000",-0.29787169012682,0.776450303330255,-0.145443834473711,0.0104668941690854,-0.260400640281277,-0.139425826269095
"chr1-17930001-17935000",-0.561085184760767,0.789452888280556,-0.146065453712402,-0.0428339613541644,-0.187378730173142,-0.207592900062097
"chr1-18040001-18045000",-0.204278987863764,-0.122043419090676,-0.0312540763738844,-0.0658607192006766,-0.119278013948772,0.829830872778272
"chr1-18105001-18110000",-0.231268169427565,-0.0441427944057441,-0.153819278320321,0.0114136420661258,-0.143685031078989,0.769148655864502
"chr1-18110001-18115000",-0.120947130396163,-0.212810919140838,-0.190387163194356,-0.0139454128687581,-0.096405984193051,0.886327212461369
"chr1-18160001-18165000",-0.266427223083081,-0.150207265266866,-0.195316813965816,-0.0603223351688343,-0.137116641023069,0.907227429559206
"chr1-19085001-19090000",-0.774566990044649,0.871621966729977,-0.547912656359061,-0.248396441358844,-0.332077516245316,-0.354190552617749
"chr1-19120001-19125000",-0.753087973522229,0.799194755760572,-0.375982246501397,-0.122312183844294,-0.274564350944192,-0.28999393437984
"chr1-19195001-19200000",-0.524614654918863,0.804442907470005,-0.296139449113721,-0.162359473355346,-0.164486119635305,-0.144389505782439
"chr1-19230001-19235000",-0.74273176983506,0.801388530920153,-0.311247425475168,-0.229598872404941,-0.228108318469932,-0.238975175377185
"chr1-19965001-19970000",0.333574987109707,-0.54933067389321,-0.325371505263824,-0.186591946724188,0.756680534804293,-0.316610326001286
"chr1-20005001-20010000",0.75031658340431,-0.940105032669093,-0.0313102833916789,-0.155349657902133,0.129429508027194,-0.272099119319358
"chr1-20035001-20040000",-0.00822495820226961,-0.46986745395954,-0.0539890988993132,-0.147266033447541,0.853420049811866,-0.155908995702933
"chr1-20090001-20095000",0.831701469692102,-0.902538466205477,-0.326492731222792,-0.260148059733973,0.0576095869412395,-0.13786712721813
"chr1-20265001-20270000",-0.873888154485422,0.863767260495894,-0.495266385455489,-0.260268367531654,-0.222801432754293,-0.402703453063395
"chr1-20280001-20285000",-0.593818893275179,0.807615677929163,-0.434565675367679,-0.23261869494065,-0.348131671184923,-0.304719785280847
"chr1-20300001-20305000",-0.668907245290132,0.827422100932041,-0.39387186311319,-0.111679606747736,-0.210200692505327,-0.219157391867153
"chr1-20305001-20310000",-0.579391716411666,0.821483882096051,-0.397656824955394,-0.0356239500153969,-0.416035807798681,-0.290491497555364
"chr1-20355001-20360000",-0.77272677494916,0.805671209885639,-0.649850687494702,-0.125116267081798,-0.253711617487317,-0.446102953491514
"chr1-20425001-20430000",-0.108317879840194,-0.119377759777143,-0.10945018714675,-0.0237571985322652,0.843129283837211,-0.0561180269137414
"chr1-21035001-21040000",-0.71468646549215,0.786662461816034,-0.496608153301737,-0.0953188114151403,-0.355671947374885,-0.338907553670785
"chr1-21235001-21240000",-0.790420652702129,0.814726530754086,-0.486510746849287,-0.0109160955344857,-0.404753132681202,-0.433969127345927
"chr1-21540001-21545000",-0.698331148087618,0.794712853067129,-0.599222426816539,-0.349606819549783,-0.659598011226584,-0.680602373687117
"chr1-21620001-21625000",-0.746308676079691,0.836030597406269,-0.397687129324369,-0.113426077208957,-0.505038949070872,-0.482339398870166
"chr1-21635001-21640000",-0.640276359980842,0.807522889283361,-0.399882475406883,-0.0401895645696744,-0.312641483083521,-0.376277865076914
"chr1-21640001-21645000",-0.379022525653567,0.767401076584716,-0.206629288441925,-0.136066667461832,-0.14089636484767,-0.164908238520446
"chr1-21665001-21670000",-0.711142365290888,0.78233615637049,-0.628676410209364,-0.323056314459512,-0.327771181246553,-0.38511452487449
"chr1-21750001-21755000",-0.527109872581311,0.829180105423701,-0.333892446451618,-0.0412402702527251,-0.220263904017891,-0.177625468836642
"chr1-22415001-22420000",-0.723820615006222,0.793057971942139,-0.488126728475364,-0.261139214074147,-0.292816043823227,-0.272434874331189
"chr1-22440001-22445000",-0.359647693072962,0.84674212807636,-0.146381908151937,-0.0464297948599908,-0.236149674729864,-0.217919815015123
"chr1-22445001-22450000",-0.644774141074949,0.766623169216122,-0.377737949647976,-0.225793669575147,-0.115421565500309,-0.214081327788643
"chr1-22580001-22585000",-0.533203954381645,0.813108127896036,-0.31972439775402,-0.175483127389386,-0.300814799233927,-0.174322207251963
"chr1-22635001-22640000",-0.30975938448219,-0.152239816020986,-0.364446174069272,-0.137439232975096,-0.150508130904587,0.911494704622926
"chr1-22645001-22650000",-0.261460727837435,-0.118536887972904,-0.0825852593615856,-0.0446312525612541,-0.0277932378926427,0.840704264617979
"chr1-22650001-22655000",-0.291098573867657,-0.159265672777129,-0.336081079397067,-0.110862871828924,-0.0985558131585469,0.910291453063712
"chr1-22660001-22665000",-0.28097564730958,-0.080018090919009,-0.0839671900917953,-0.0238920635246575,-0.218501016368151,0.808619133512278
"chr1-22735001-22740000",-0.0888072763890883,-0.175756281925842,-0.138203417128062,-0.0191087679610614,-0.0880095389349383,0.853514281401577
"chr1-22825001-22830000",-0.531272493843711,0.760824769667392,-0.41175668417538,-0.155475367192396,-0.493049039282526,-0.264880479828367
"chr1-22840001-22845000",-0.36077537030389,0.750644267214262,-0.266674928766925,-0.130966918506929,-0.178298539832184,-0.0595478311692498
"chr1-22920001-22925000",-0.659184891730051,0.869260894013124,-0.357635345968927,-0.192087467089527,-0.308651423722651,-0.283005174012958
"chr1-23405001-23410000",-0.728139585519944,0.810525189243024,-0.422973506923162,-0.270612986297647,-0.399573426636768,-0.337116629221447
"chr1-23580001-23585000",-0.0677422397756039,-0.142633782326131,-0.0967297108426765,0.0669003151642421,0.818245912899058,-0.093659063716605
"chr1-23755001-23760000",-0.59810996904538,0.774282386727316,-0.328465873915472,-0.217884773039897,-0.199715178230634,-0.159630669967155
"chr1-23765001-23770000",-0.3687009241462,0.761506643577885,-0.270698212426373,-0.00815611517729523,-0.117477761904818,-0.315021761896964
"chr1-23845001-23850000",-0.647326112699117,0.788731872982175,-0.305106136533429,-0.034681009476051,-0.1657913840186,-0.190851417598039
"chr1-23895001-23900000",-0.117922420624462,-0.118630593645464,-0.0985105442553132,-0.0363943351736329,-0.0722738685388544,0.757300221307417
"chr1-23920001-23925000",-0.781754611116751,0.835564190085758,-0.662958262873749,-0.184546585934279,-0.365159007185298,-0.320171985797551
"chr1-24060001-24065000",-0.540059504071478,0.767881124990368,-0.212204829783528,0.0105162309525512,-0.0973960847447915,-0.160711440890301
"chr1-24065001-24070000",-0.75747228445228,0.845698070371853,-0.671742095524858,-0.167581446815623,-0.363616697159979,-0.467520314992889
